,team,opponent,away_wins,away_losses
412,Miami Heat,Dallas Mavericks,6,1
413,Miami Heat,Denver Nuggets,4,3
414,Miami Heat,Detroit Pistons,5,8
415,Miami Heat,Golden State Warriors,2,5
416,Miami Heat,Houston Rockets,2,4
417,Miami Heat,Indiana Pacers,1,11
418,Miami Heat,Los Angeles Clippers,4,3
419,Miami Heat,Los Angeles Lakers,4,3
420,Miami Heat,Memphis Grizzlies,3,4
421,Miami Heat,Milwaukee Bucks,5,6
422,Miami Heat,Minnesota Timberwolves,5,1
423,Miami Heat,New Orleans Pelicans,2,4
424,Miami Heat,New York Knicks,8,4
425,Miami Heat,Oklahoma City Thunder,2,4
426,Miami Heat,Orlando Magic,10,4
427,Miami Heat,Philadelphia 76ers,6,5
428,Miami Heat,Phoenix Suns,6,1
429,Miami Heat,Portland Trail Blazers,2,5
430,Miami Heat,Sacramento Kings,4,3
431,Miami Heat,San Antonio Spurs,1,5
432,Miami Heat,Toronto Raptors,5,7
433,Miami Heat,Utah Jazz,3,4
434,Miami Heat,Washington Wizards,6,7
435,Milwaukee Bucks,Atlanta Hawks,4,7
436,Milwaukee Bucks,Brooklyn Nets,8,3
437,Milwaukee Bucks,Boston Celtics,7,6
438,Milwaukee Bucks,Charlotte Hornets,4,9
439,Milwaukee Bucks,Chicago Bulls,8,5
440,Milwaukee Bucks,Cleveland Cavaliers,3,10
441,Milwaukee Bucks,Dallas Mavericks,2,5
442,Milwaukee Bucks,Denver Nuggets,1,6
443,Milwaukee Bucks,Detroit Pistons,5,9
444,Milwaukee Bucks,Golden State Warriors,3,4
445,Milwaukee Bucks,Houston Rockets,2,5
446,Milwaukee Bucks,Indiana Pacers,4,10
447,Milwaukee Bucks,Los Angeles Clippers,1,6
448,Milwaukee Bucks,Los Angeles Lakers,3,3
449,Milwaukee Bucks,Memphis Grizzlies,2,5
450,Milwaukee Bucks,Miami Heat,3,9
451,Milwaukee Bucks,Minnesota Timberwolves,3,4
452,Milwaukee Bucks,New Orleans Pelicans,1,4
453,Milwaukee Bucks,New York Knicks,7,6
454,Milwaukee Bucks,Oklahoma City Thunder,2,5
455,Milwaukee Bucks,Orlando Magic,4,8
456,Milwaukee Bucks,Philadelphia 76ers,7,4
457,Milwaukee Bucks,Phoenix Suns,5,1
458,Milwaukee Bucks,Portland Trail Blazers,3,4
459,Milwaukee Bucks,Sacramento Kings,4,2
460,Milwaukee Bucks,San Antonio Spurs,2,4
461,Milwaukee Bucks,Toronto Raptors,5,8
462,Milwaukee Bucks,Utah Jazz,0,6
463,Milwaukee Bucks,Washington Wizards,5,8
464,Minnesota Timberwolves,Atlanta Hawks,2,4
465,Minnesota Timberwolves,Brooklyn Nets,4,3
466,Minnesota Timberwolves,Boston Celtics,0,7
467,Minnesota Timberwolves,Charlotte Hornets,1,5
