,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
117,Oklahoma City Thunder,2015,32,9,23,18,0.7804878048780488,0.5609756097560976
118,Oklahoma City Thunder,2016,28,13,19,22,0.6829268292682927,0.4634146341463415
119,Oklahoma City Thunder,2017,27,14,21,20,0.6585365853658537,0.5121951219512195
120,Orlando Magic,2012,12,29,8,33,0.2926829268292683,0.1951219512195122
121,Orlando Magic,2013,19,22,4,37,0.4634146341463415,0.0975609756097561
122,Orlando Magic,2014,13,28,12,29,0.3170731707317073,0.2926829268292683
123,Orlando Magic,2015,23,18,12,29,0.5609756097560976,0.2926829268292683
124,Orlando Magic,2016,16,25,13,28,0.3902439024390244,0.3170731707317073
125,Orlando Magic,2017,17,24,8,33,0.4146341463414634,0.1951219512195122
126,Philadelphia 76ers,2012,23,18,11,30,0.5609756097560976,0.2682926829268293
127,Philadelphia 76ers,2013,10,31,9,32,0.24390243902439024,0.21951219512195122
128,Philadelphia 76ers,2014,12,29,6,35,0.2926829268292683,0.14634146341463414
129,Philadelphia 76ers,2015,7,34,3,38,0.17073170731707318,0.07317073170731707
130,Philadelphia 76ers,2016,17,24,11,30,0.4146341463414634,0.2682926829268293
131,Philadelphia 76ers,2017,30,11,22,19,0.7317073170731707,0.5365853658536586
132,Phoenix Suns,2012,17,24,8,33,0.4146341463414634,0.1951219512195122
133,Phoenix Suns,2013,26,15,22,19,0.6341463414634146,0.5365853658536586
134,Phoenix Suns,2014,22,19,17,24,0.5365853658536586,0.4146341463414634
135,Phoenix Suns,2015,14,27,9,32,0.34146341463414637,0.21951219512195122
136,Phoenix Suns,2016,15,26,9,32,0.36585365853658536,0.21951219512195122
137,Phoenix Suns,2017,10,31,11,30,0.24390243902439024,0.2682926829268293
138,Portland Trail Blazers,2012,22,19,11,30,0.5365853658536586,0.2682926829268293
139,Portland Trail Blazers,2013,31,10,23,18,0.7560975609756098,0.5609756097560976
140,Portland Trail Blazers,2014,32,9,19,22,0.7804878048780488,0.4634146341463415
141,Portland Trail Blazers,2015,28,13,16,25,0.6829268292682927,0.3902439024390244
142,Portland Trail Blazers,2016,25,16,16,25,0.6097560975609756,0.3902439024390244
