,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
128,San Antonio Spurs,2012,35,6,23,18,0.8536585365853658,0.5609756097560976
129,San Antonio Spurs,2013,32,9,30,11,0.7804878048780488,0.7317073170731707
130,San Antonio Spurs,2014,33,8,22,19,0.8048780487804879,0.5365853658536586
131,San Antonio Spurs,2015,40,1,27,14,0.975609756097561,0.6585365853658537
132,San Antonio Spurs,2016,31,10,30,11,0.7560975609756098,0.7317073170731707
133,San Antonio Spurs,2017,33,8,14,27,0.8048780487804879,0.34146341463414637
134,Oklahoma City Thunder,2012,34,7,26,15,0.8292682926829268,0.6341463414634146
135,Oklahoma City Thunder,2013,34,7,25,16,0.8292682926829268,0.6097560975609756
136,Oklahoma City Thunder,2014,29,12,16,25,0.7073170731707317,0.3902439024390244
137,Oklahoma City Thunder,2015,32,9,23,18,0.7804878048780488,0.5609756097560976
138,Oklahoma City Thunder,2016,28,13,19,22,0.6829268292682927,0.4634146341463415
139,Oklahoma City Thunder,2017,27,14,21,20,0.6585365853658537,0.5121951219512195
140,Toronto Raptors,2012,21,20,13,28,0.5121951219512195,0.3170731707317073
141,Toronto Raptors,2013,26,15,22,19,0.6341463414634146,0.5365853658536586
142,Toronto Raptors,2014,27,14,22,19,0.6585365853658537,0.5365853658536586
143,Toronto Raptors,2015,32,9,24,17,0.7804878048780488,0.5853658536585366
144,Toronto Raptors,2016,28,13,23,18,0.6829268292682927,0.5609756097560976
145,Toronto Raptors,2017,34,7,25,16,0.8292682926829268,0.6097560975609756
146,Utah Jazz,2012,30,11,13,28,0.7317073170731707,0.3170731707317073
147,Utah Jazz,2013,16,25,9,32,0.3902439024390244,0.21951219512195122
148,Utah Jazz,2014,21,20,17,24,0.5121951219512195,0.4146341463414634
149,Utah Jazz,2015,24,17,16,25,0.5853658536585366,0.3902439024390244
150,Utah Jazz,2016,29,12,22,19,0.7073170731707317,0.5365853658536586
151,Utah Jazz,2017,28,13,20,21,0.6829268292682927,0.4878048780487805
152,Memphis Grizzlies,2012,32,9,24,17,0.7804878048780488,0.5853658536585366
153,Memphis Grizzlies,2013,27,14,23,18,0.6585365853658537,0.5609756097560976
154,Memphis Grizzlies,2014,31,10,24,17,0.7560975609756098,0.5853658536585366
155,Memphis Grizzlies,2015,26,15,16,25,0.6341463414634146,0.3902439024390244
156,Memphis Grizzlies,2016,24,17,19,22,0.5853658536585366,0.4634146341463415
157,Memphis Grizzlies,2017,16,25,6,35,0.3902439024390244,0.14634146341463414
158,Washington Wizards,2012,22,19,7,34,0.5365853658536586,0.17073170731707318
159,Washington Wizards,2013,22,19,22,19,0.5365853658536586,0.5365853658536586
160,Washington Wizards,2014,29,12,17,24,0.7073170731707317,0.4146341463414634
161,Washington Wizards,2015,22,19,19,22,0.5365853658536586,0.4634146341463415
162,Washington Wizards,2016,30,11,19,22,0.7317073170731707,0.4634146341463415
163,Washington Wizards,2017,23,18,20,21,0.5609756097560976,0.4878048780487805
164,Detroit Pistons,2012,18,23,11,30,0.43902439024390244,0.2682926829268293
165,Detroit Pistons,2013,17,24,12,29,0.4146341463414634,0.2926829268292683
166,Detroit Pistons,2014,18,23,14,27,0.43902439024390244,0.34146341463414637
167,Detroit Pistons,2015,26,15,18,23,0.6341463414634146,0.43902439024390244
168,Detroit Pistons,2016,24,17,13,28,0.5853658536585366,0.3170731707317073
169,Detroit Pistons,2017,25,16,14,27,0.6097560975609756,0.34146341463414637
170,Charlotte Hornets,2014,19,22,14,27,0.4634146341463415,0.34146341463414637
171,Charlotte Hornets,2015,30,11,18,23,0.7317073170731707,0.43902439024390244
172,Charlotte Hornets,2016,22,19,14,27,0.5365853658536586,0.34146341463414637
173,Charlotte Hornets,2017,21,20,15,26,0.5121951219512195,0.36585365853658536
